Epoch 0, Step 55000, Loss: 0.538736791015, Accuracy: 0.796672725569, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.437938977155, Accuracy: 0.8403818163, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.382548483258, Accuracy: 0.857909090085, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.347084193609, Accuracy: 0.870218182585, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.320105244409, Accuracy: 0.88072727095, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.307155510025, Accuracy: 0.884127273993, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.289784279303, Accuracy: 0.8914181822, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.287038960511, Accuracy: 0.892218182737, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.266250888434, Accuracy: 0.902000001235, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.268114069578, Accuracy: 0.900272728313, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.246716666208, Accuracy: 0.908563636758, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.23464159104, Accuracy: 0.911163637746, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.224138432958, Accuracy: 0.915545456735, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.23094185588, Accuracy: 0.912563637603, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.210353861546, Accuracy: 0.921127274578, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.214443900666, Accuracy: 0.919563638947, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.198198590671, Accuracy: 0.92649091157, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.205762726516, Accuracy: 0.921436365084, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.197530610385, Accuracy: 0.926872728521, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.18122538188, Accuracy: 0.932690909884, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.177341721146, Accuracy: 0.935236366662, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.172348456403, Accuracy: 0.935436366038, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.165072509518, Accuracy: 0.938381819292, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.171288563352, Accuracy: 0.936254546426, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.159045016217, Accuracy: 0.941200001348, lr: 0.0001
Epoch 25, Step 55000, Loss: 0.146717873338, Accuracy: 0.946236363216, lr: 0.0001
Epoch 26, Step 55000, Loss: 0.150773290362, Accuracy: 0.944381818338, lr: 0.0001
Epoch 27, Step 55000, Loss: 0.132993390675, Accuracy: 0.951890911622, lr: 0.0001
Epoch 28, Step 55000, Loss: 0.138707770319, Accuracy: 0.947509091551, lr: 0.0001
Epoch 29, Step 55000, Loss: 0.136794792976, Accuracy: 0.947745456262, lr: 0.0001
Epoch 30, Step 55000, Loss: 0.133102016767, Accuracy: 0.950218183452, lr: 0.0001
Epoch 31, Step 55000, Loss: 0.122371237115, Accuracy: 0.955163639134, lr: 0.0001
Epoch 32, Step 55000, Loss: 0.130415304296, Accuracy: 0.950963637179, lr: 0.0001
Epoch 33, Step 55000, Loss: 0.124146875414, Accuracy: 0.953981819586, lr: 0.0001
Epoch 34, Step 55000, Loss: 0.103803549632, Accuracy: 0.963381822759, lr: 0.0001
Epoch 35, Step 55000, Loss: 0.104655088522, Accuracy: 0.962709095261, lr: 0.0001
Epoch 36, Step 55000, Loss: 0.102815954123, Accuracy: 0.962345459786, lr: 0.0001
Epoch 37, Step 55000, Loss: 0.106789428033, Accuracy: 0.960163641626, lr: 0.0001
Epoch 38, Step 55000, Loss: 0.0912427503853, Accuracy: 0.96738182458, lr: 0.0001
Epoch 39, Step 55000, Loss: 0.0895056607574, Accuracy: 0.966890915307, lr: 0.0001
Epoch 40, Step 55000, Loss: 0.0890924954584, Accuracy: 0.967254551757, lr: 0.0001
Epoch 41, Step 55000, Loss: 0.0815367983857, Accuracy: 0.971236371669, lr: 0.0001
Epoch 42, Step 55000, Loss: 0.0712974592501, Accuracy: 0.975654554584, lr: 0.0001
Epoch 43, Step 55000, Loss: 0.0783802009137, Accuracy: 0.971763644652, lr: 0.0001
Epoch 44, Step 55000, Loss: 0.0798483757912, Accuracy: 0.970836371834, lr: 0.0001
Epoch 45, Step 55000, Loss: 0.0663143894432, Accuracy: 0.977309100953, lr: 0.0001
Epoch 46, Step 55000, Loss: 0.0754931376908, Accuracy: 0.973309099891, lr: 0.0001
Epoch 47, Step 55000, Loss: 0.0661598429998, Accuracy: 0.976672737057, lr: 0.0001
Epoch 48, Step 55000, Loss: 0.0604492357576, Accuracy: 0.979545465708, lr: 0.0001
Epoch 49, Step 55000, Loss: 0.0594290312193, Accuracy: 0.980345466029, lr: 0.0001
