Epoch 0, Step 55000, Loss: 0.516267395832, Accuracy: 0.813345452872, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.436169190786, Accuracy: 0.834981815707, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.365342246267, Accuracy: 0.861527273005, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.330155014612, Accuracy: 0.875672727281, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.324072612903, Accuracy: 0.879418181506, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.288094531582, Accuracy: 0.891581818516, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.276624566601, Accuracy: 0.896672727953, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.257766830339, Accuracy: 0.905000002601, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.248859550005, Accuracy: 0.905981819846, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.237711780654, Accuracy: 0.910927273794, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.238469099375, Accuracy: 0.912181818485, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.222020027069, Accuracy: 0.915727274418, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.212326811234, Accuracy: 0.920090911388, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.195225860924, Accuracy: 0.926763637933, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.19399927436, Accuracy: 0.927436365864, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.185557886362, Accuracy: 0.929872729236, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.183785174326, Accuracy: 0.929890910604, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.167574906525, Accuracy: 0.93849091118, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.155167023099, Accuracy: 0.942272728682, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.157270592959, Accuracy: 0.940709092184, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.153686646684, Accuracy: 0.941727274331, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.142064114897, Accuracy: 0.94789090991, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.145438021144, Accuracy: 0.946163638722, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.119906374162, Accuracy: 0.956509093696, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.125457982902, Accuracy: 0.954745455872, lr: 0.0001
Epoch 25, Step 55000, Loss: 0.119629170001, Accuracy: 0.95609091206, lr: 0.0001
Epoch 26, Step 55000, Loss: 0.118257910907, Accuracy: 0.956927274574, lr: 0.0001
Epoch 27, Step 55000, Loss: 0.115828711201, Accuracy: 0.957800003399, lr: 0.0001
Epoch 28, Step 55000, Loss: 0.107326800573, Accuracy: 0.960345457901, lr: 0.0001
Epoch 29, Step 55000, Loss: 0.0958954464509, Accuracy: 0.966472733996, lr: 0.0001
Epoch 30, Step 55000, Loss: 0.0985572419959, Accuracy: 0.962436368357, lr: 0.0001
Epoch 31, Step 55000, Loss: 0.0901749950918, Accuracy: 0.968563643911, lr: 0.0001
Epoch 32, Step 55000, Loss: 0.0847565525025, Accuracy: 0.969800006151, lr: 0.0001
Epoch 33, Step 55000, Loss: 0.0913534408334, Accuracy: 0.967072733099, lr: 0.0001
Epoch 34, Step 55000, Loss: 0.0813526799598, Accuracy: 0.972090917067, lr: 0.0001
Epoch 35, Step 55000, Loss: 0.0721464535188, Accuracy: 0.975581827814, lr: 0.0001
Epoch 36, Step 55000, Loss: 0.0657747600482, Accuracy: 0.977636374885, lr: 0.0001
Epoch 37, Step 55000, Loss: 0.0613826463896, Accuracy: 0.978836374825, lr: 0.0001
Epoch 38, Step 55000, Loss: 0.0589334473353, Accuracy: 0.980345464945, lr: 0.0001
Epoch 39, Step 55000, Loss: 0.0581452018903, Accuracy: 0.981000011184, lr: 0.0001
Epoch 40, Step 55000, Loss: 0.0542552346872, Accuracy: 0.981509101499, lr: 0.0001
Epoch 41, Step 55000, Loss: 0.0514999094885, Accuracy: 0.982981827693, lr: 0.0001
Epoch 42, Step 55000, Loss: 0.0468291096779, Accuracy: 0.985072738366, lr: 0.0001
Epoch 43, Step 55000, Loss: 0.047056102585, Accuracy: 0.985000010295, lr: 0.0001
Epoch 44, Step 55000, Loss: 0.0470504136189, Accuracy: 0.9838363745, lr: 0.0001
Epoch 45, Step 55000, Loss: 0.0463263309036, Accuracy: 0.984327282906, lr: 0.0001
Epoch 46, Step 55000, Loss: 0.03898133216, Accuracy: 0.986563647335, lr: 0.0001
Epoch 47, Step 55000, Loss: 0.0450651573779, Accuracy: 0.983545465253, lr: 0.0001
Epoch 48, Step 55000, Loss: 0.0406459993691, Accuracy: 0.987490918636, lr: 0.0001
Epoch 49, Step 55000, Loss: 0.0393649613459, Accuracy: 0.986581827836, lr: 0.0001
