Epoch 0, Step 55000, Loss: 0.602123287754, Accuracy: 0.766781817133, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.481067490307, Accuracy: 0.824218179963, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.431250693961, Accuracy: 0.837272726081, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.38302442655, Accuracy: 0.854345452894, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.375658267167, Accuracy: 0.858254544735, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.33185613876, Accuracy: 0.875800000863, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.338991640698, Accuracy: 0.873018181866, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.303439765762, Accuracy: 0.88523636482, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.288057796982, Accuracy: 0.892218183062, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.272046040676, Accuracy: 0.899727273854, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.262050067186, Accuracy: 0.902218183713, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.243870800571, Accuracy: 0.909981820908, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.258611050357, Accuracy: 0.903854547306, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.230846062492, Accuracy: 0.911600001942, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.225326095413, Accuracy: 0.916036365682, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.243612448776, Accuracy: 0.908490910747, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.226181957085, Accuracy: 0.91541818337, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.207103756273, Accuracy: 0.92161818396, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.208889386884, Accuracy: 0.92069091125, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.197731201893, Accuracy: 0.926163638288, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.188992757418, Accuracy: 0.929418184324, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.207594086, Accuracy: 0.921072727984, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.191974047429, Accuracy: 0.927709093094, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.182957121669, Accuracy: 0.931890909997, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.174273372726, Accuracy: 0.934000001496, lr: 0.0001
Epoch 25, Step 55000, Loss: 0.169614944675, Accuracy: 0.93640000235, lr: 0.0001
Epoch 26, Step 55000, Loss: 0.162608545937, Accuracy: 0.938545455824, lr: 0.0001
Epoch 27, Step 55000, Loss: 0.160972896333, Accuracy: 0.939763638756, lr: 0.0001
Epoch 28, Step 55000, Loss: 0.159580822628, Accuracy: 0.941181819764, lr: 0.0001
Epoch 29, Step 55000, Loss: 0.155395035073, Accuracy: 0.942254547423, lr: 0.0001
Epoch 30, Step 55000, Loss: 0.150291106782, Accuracy: 0.944327274778, lr: 0.0001
Epoch 31, Step 55000, Loss: 0.152234443182, Accuracy: 0.942636365782, lr: 0.0001
Epoch 32, Step 55000, Loss: 0.143389153325, Accuracy: 0.945472730398, lr: 0.0001
Epoch 33, Step 55000, Loss: 0.144675412232, Accuracy: 0.945745456219, lr: 0.0001
Epoch 34, Step 55000, Loss: 0.138764782954, Accuracy: 0.948400001526, lr: 0.0001
Epoch 35, Step 55000, Loss: 0.136637906371, Accuracy: 0.94860000166, lr: 0.0001
Epoch 36, Step 55000, Loss: 0.131620334868, Accuracy: 0.951090909893, lr: 0.0001
Epoch 37, Step 55000, Loss: 0.132274449332, Accuracy: 0.951818182685, lr: 0.0001
Epoch 38, Step 55000, Loss: 0.128880809525, Accuracy: 0.953000002774, lr: 0.0001
Epoch 39, Step 55000, Loss: 0.128215716332, Accuracy: 0.951509091529, lr: 0.0001
Epoch 40, Step 55000, Loss: 0.123371543573, Accuracy: 0.954254547574, lr: 0.0001
Epoch 41, Step 55000, Loss: 0.117615651116, Accuracy: 0.955981820497, lr: 0.0001
Epoch 42, Step 55000, Loss: 0.117053367529, Accuracy: 0.956472729011, lr: 0.0001
Epoch 43, Step 55000, Loss: 0.116008999409, Accuracy: 0.956236367334, lr: 0.0001
Epoch 44, Step 55000, Loss: 0.110036292486, Accuracy: 0.959781821641, lr: 0.0001
Epoch 45, Step 55000, Loss: 0.118774372278, Accuracy: 0.955800002705, lr: 0.0001
Epoch 46, Step 55000, Loss: 0.11498119929, Accuracy: 0.957127275684, lr: 0.0001
Epoch 47, Step 55000, Loss: 0.108219274553, Accuracy: 0.959490912502, lr: 0.0001
Epoch 48, Step 55000, Loss: 0.110285287418, Accuracy: 0.959181821238, lr: 0.0001
Epoch 49, Step 55000, Loss: 0.100493945486, Accuracy: 0.96280000394, lr: 0.0001
