Epoch 0, Step 55000, Loss: 0.537803672606, Accuracy: 0.799490907192, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.391385793523, Accuracy: 0.853763635484, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.337988561392, Accuracy: 0.874872727069, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.320279263773, Accuracy: 0.88214545445, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.288274420554, Accuracy: 0.89412727421, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.263778781932, Accuracy: 0.902472727299, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.260015858439, Accuracy: 0.904200000329, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.242182465087, Accuracy: 0.909927274856, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.23372570833, Accuracy: 0.912709092552, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.22268036356, Accuracy: 0.917272729332, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.214839413003, Accuracy: 0.919981820367, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.206438595544, Accuracy: 0.921363638856, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.195293327956, Accuracy: 0.927109092691, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.188479137637, Accuracy: 0.929054547332, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.188246038942, Accuracy: 0.928836366697, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.182137724046, Accuracy: 0.932109093124, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.166577048322, Accuracy: 0.937145456076, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.168637224117, Accuracy: 0.936145457246, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.155230496065, Accuracy: 0.942145455317, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.150506396239, Accuracy: 0.9433818207, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.145531614491, Accuracy: 0.945927274986, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.140834533593, Accuracy: 0.947945456288, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.138406697512, Accuracy: 0.948909093575, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.133093427765, Accuracy: 0.950436365821, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.125825543678, Accuracy: 0.953181819157, lr: 0.0001
Epoch 25, Step 55000, Loss: 0.119331129762, Accuracy: 0.956145455404, lr: 0.0001
Epoch 26, Step 55000, Loss: 0.117254483249, Accuracy: 0.956763640209, lr: 0.0001
Epoch 27, Step 55000, Loss: 0.116692145785, Accuracy: 0.955927275853, lr: 0.0001
Epoch 28, Step 55000, Loss: 0.110891268341, Accuracy: 0.959363640764, lr: 0.0001
Epoch 29, Step 55000, Loss: 0.10424648269, Accuracy: 0.961000004898, lr: 0.0001
Epoch 30, Step 55000, Loss: 0.104863406664, Accuracy: 0.961218187267, lr: 0.0001
Epoch 31, Step 55000, Loss: 0.0970083042234, Accuracy: 0.964581826058, lr: 0.0001
Epoch 32, Step 55000, Loss: 0.0956955588406, Accuracy: 0.964963641817, lr: 0.0001
Epoch 33, Step 55000, Loss: 0.0934918974577, Accuracy: 0.966000005007, lr: 0.0001
Epoch 34, Step 55000, Loss: 0.0935278049247, Accuracy: 0.965545460744, lr: 0.0001
Epoch 35, Step 55000, Loss: 0.0871738711287, Accuracy: 0.968509097316, lr: 0.0001
Epoch 36, Step 55000, Loss: 0.0784851432626, Accuracy: 0.972072735483, lr: 0.0001
Epoch 37, Step 55000, Loss: 0.0834590502507, Accuracy: 0.968800007755, lr: 0.0001
Epoch 38, Step 55000, Loss: 0.0769144424085, Accuracy: 0.971854553765, lr: 0.0001
Epoch 39, Step 55000, Loss: 0.0745729712295, Accuracy: 0.973545463627, lr: 0.0001
Epoch 40, Step 55000, Loss: 0.0665294454111, Accuracy: 0.977290920344, lr: 0.0001
Epoch 41, Step 55000, Loss: 0.0627215612324, Accuracy: 0.978672736666, lr: 0.0001
Epoch 42, Step 55000, Loss: 0.067580471049, Accuracy: 0.976000009342, lr: 0.0001
Epoch 43, Step 55000, Loss: 0.0578010807034, Accuracy: 0.980200010321, lr: 0.0001
Epoch 44, Step 55000, Loss: 0.059285067137, Accuracy: 0.978800010031, lr: 0.0001
Epoch 45, Step 55000, Loss: 0.0561947848326, Accuracy: 0.981218192794, lr: 0.0001
Epoch 46, Step 55000, Loss: 0.0592770131906, Accuracy: 0.978781828122, lr: 0.0001
Epoch 47, Step 55000, Loss: 0.0524828320742, Accuracy: 0.981690919399, lr: 0.0001
Epoch 48, Step 55000, Loss: 0.0489481226914, Accuracy: 0.982781828208, lr: 0.0001
Epoch 49, Step 55000, Loss: 0.0491711352571, Accuracy: 0.98405455611, lr: 0.0001
Epoch 50, Step 55000, Loss: 0.0417641777774, Accuracy: 0.986472737247, lr: 0.0001
Epoch 51, Step 55000, Loss: 0.0425280435307, Accuracy: 0.985236374031, lr: 0.0001
Epoch 52, Step 55000, Loss: 0.0434547721154, Accuracy: 0.986345464641, lr: 0.0001
Epoch 53, Step 55000, Loss: 0.0421937296997, Accuracy: 0.985690918944, lr: 0.0001
Epoch 54, Step 55000, Loss: 0.0379651234417, Accuracy: 0.987854554762, lr: 0.0001
Epoch 55, Step 55000, Loss: 0.0341555819673, Accuracy: 0.988945463462, lr: 0.0001
Epoch 56, Step 55000, Loss: 0.0379964667863, Accuracy: 0.987127282836, lr: 0.0001
Epoch 57, Step 55000, Loss: 0.0325997010754, Accuracy: 0.990054554072, lr: 0.0001
Epoch 58, Step 55000, Loss: 0.0316546746195, Accuracy: 0.990272735791, lr: 0.0001
Epoch 59, Step 55000, Loss: 0.0356364980789, Accuracy: 0.988763645779, lr: 0.0001
Epoch 60, Step 55000, Loss: 0.0358786787702, Accuracy: 0.988000009277, lr: 0.0001
Epoch 61, Step 55000, Loss: 0.0293176241117, Accuracy: 0.990563644171, lr: 0.0001
Epoch 62, Step 55000, Loss: 0.0252874924395, Accuracy: 0.993254551779, lr: 0.0001
Epoch 63, Step 55000, Loss: 0.0254429458664, Accuracy: 0.992654552026, lr: 0.0001
Epoch 64, Step 55000, Loss: 0.0275744463791, Accuracy: 0.99161818927, lr: 0.0001
Epoch 65, Step 55000, Loss: 0.0275438701455, Accuracy: 0.991563643651, lr: 0.0001
Epoch 66, Step 55000, Loss: 0.0226182701578, Accuracy: 0.99294546084, lr: 0.0001
Epoch 67, Step 55000, Loss: 0.0243902539242, Accuracy: 0.992600006949, lr: 0.0001
Epoch 68, Step 55000, Loss: 0.0233865002043, Accuracy: 0.992945461056, lr: 0.0001
Epoch 69, Step 55000, Loss: 0.0195940182096, Accuracy: 0.995090913556, lr: 0.0001
Epoch 70, Step 55000, Loss: 0.0241621651663, Accuracy: 0.9920909162, lr: 0.0001
Epoch 71, Step 55000, Loss: 0.0223823629751, Accuracy: 0.992436370633, lr: 0.0001
Epoch 72, Step 55000, Loss: 0.0252889990536, Accuracy: 0.991618189161, lr: 0.0001
Epoch 73, Step 55000, Loss: 0.0214708165638, Accuracy: 0.993509096666, lr: 0.0001
Epoch 74, Step 55000, Loss: 0.017924537556, Accuracy: 0.994363641631, lr: 0.0001
