Epoch 0, Step 55000, Loss: 0.401444317617, Accuracy: 0.854018179287, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.344338838241, Accuracy: 0.874727272662, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.302847301201, Accuracy: 0.889236362414, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.27927747763, Accuracy: 0.89867272843, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.26152452244, Accuracy: 0.904236365123, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.245418491648, Accuracy: 0.912000000368, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.241564091254, Accuracy: 0.911345456513, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.229316025783, Accuracy: 0.915181819309, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.225347045687, Accuracy: 0.918054547418, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.221681755415, Accuracy: 0.918636366671, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.211607529264, Accuracy: 0.923836365721, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.197084316923, Accuracy: 0.927563638796, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.190709491155, Accuracy: 0.930981820713, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.187344750437, Accuracy: 0.93167272882, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.184092390172, Accuracy: 0.932636365132, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.171157639528, Accuracy: 0.938181819049, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.174999538369, Accuracy: 0.936218184124, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.173960534741, Accuracy: 0.936690910621, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.162715303837, Accuracy: 0.941909092665, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.170417292701, Accuracy: 0.936309091178, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.158533237488, Accuracy: 0.942381818836, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.150503957231, Accuracy: 0.946218183799, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.154692643949, Accuracy: 0.943600001552, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.140244823369, Accuracy: 0.949545455412, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.141818402938, Accuracy: 0.948327275189, lr: 0.0001
Epoch 25, Step 55000, Loss: 0.142365027266, Accuracy: 0.949472728101, lr: 0.0001
Epoch 26, Step 55000, Loss: 0.142176857733, Accuracy: 0.948327273672, lr: 0.0001
Epoch 27, Step 55000, Loss: 0.134405718066, Accuracy: 0.952090910565, lr: 0.0001
Epoch 28, Step 55000, Loss: 0.130450472358, Accuracy: 0.953836366697, lr: 0.0001
Epoch 29, Step 55000, Loss: 0.121739912717, Accuracy: 0.958509095474, lr: 0.0001
Epoch 30, Step 55000, Loss: 0.116084829948, Accuracy: 0.961200003624, lr: 0.0001
Epoch 31, Step 55000, Loss: 0.116226396639, Accuracy: 0.959563639489, lr: 0.0001
Epoch 32, Step 55000, Loss: 0.112297013412, Accuracy: 0.961709094915, lr: 0.0001
Epoch 33, Step 55000, Loss: 0.108546120206, Accuracy: 0.963490912481, lr: 0.0001
Epoch 34, Step 55000, Loss: 0.107252118428, Accuracy: 0.963272730871, lr: 0.0001
Epoch 35, Step 55000, Loss: 0.106724513952, Accuracy: 0.963018186959, lr: 0.0001
Epoch 36, Step 55000, Loss: 0.101871477413, Accuracy: 0.966109096462, lr: 0.0001
Epoch 37, Step 55000, Loss: 0.104404152605, Accuracy: 0.965054551688, lr: 0.0001
Epoch 38, Step 55000, Loss: 0.103462284065, Accuracy: 0.964981822859, lr: 0.0001
Epoch 39, Step 55000, Loss: 0.0979761751301, Accuracy: 0.966618189053, lr: 0.0001
Epoch 40, Step 55000, Loss: 0.0950032185289, Accuracy: 0.967618188099, lr: 0.0001
Epoch 41, Step 55000, Loss: 0.0923521363532, Accuracy: 0.968345461867, lr: 0.0001
Epoch 42, Step 55000, Loss: 0.0887391547588, Accuracy: 0.971345463016, lr: 0.0001
Epoch 43, Step 55000, Loss: 0.0886237960783, Accuracy: 0.969600007101, lr: 0.0001
Epoch 44, Step 55000, Loss: 0.0816260843284, Accuracy: 0.975236372189, lr: 0.0001
Epoch 45, Step 55000, Loss: 0.0840301761438, Accuracy: 0.972000007955, lr: 0.0001
Epoch 46, Step 55000, Loss: 0.085433055413, Accuracy: 0.970690916018, lr: 0.0001
Epoch 47, Step 55000, Loss: 0.0751852326874, Accuracy: 0.976836372831, lr: 0.0001
Epoch 48, Step 55000, Loss: 0.0731368442794, Accuracy: 0.977363646139, lr: 0.0001
Epoch 49, Step 55000, Loss: 0.0810403485461, Accuracy: 0.972672735561, lr: 0.0001
