Epoch 0, Step 55000, Loss: 0.504657564109, Accuracy: 0.80998181614, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.403771817359, Accuracy: 0.852163635601, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.350734487338, Accuracy: 0.867054544254, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.320822920691, Accuracy: 0.878690908714, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.294167338339, Accuracy: 0.891636364785, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.278540450768, Accuracy: 0.895981819305, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.264062420821, Accuracy: 0.900218182044, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.255489604283, Accuracy: 0.90520000306, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.250753238215, Accuracy: 0.905909092968, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.230659520314, Accuracy: 0.91401818438, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.220872321955, Accuracy: 0.918072728135, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.207880454741, Accuracy: 0.921218184666, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.205675636476, Accuracy: 0.922218183496, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.198881033212, Accuracy: 0.924981819716, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.187704674933, Accuracy: 0.929909092513, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.185450757945, Accuracy: 0.930654547106, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.176669263433, Accuracy: 0.934381820397, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.175300236548, Accuracy: 0.934909092513, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.164337854995, Accuracy: 0.938654547605, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.16865374918, Accuracy: 0.935709092725, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.166127108593, Accuracy: 0.937236365405, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.156262506003, Accuracy: 0.940090910847, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.162065168565, Accuracy: 0.937654546608, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.145381399976, Accuracy: 0.945327274257, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.144064106562, Accuracy: 0.945545456843, lr: 0.0001
Epoch 25, Step 55000, Loss: 0.134580331607, Accuracy: 0.949436365799, lr: 0.0001
Epoch 26, Step 55000, Loss: 0.136975347535, Accuracy: 0.948654547171, lr: 0.0001
Epoch 27, Step 55000, Loss: 0.133347987045, Accuracy: 0.949981821342, lr: 0.0001
Epoch 28, Step 55000, Loss: 0.122794429088, Accuracy: 0.954763638756, lr: 0.0001
Epoch 29, Step 55000, Loss: 0.119280216863, Accuracy: 0.955781820796, lr: 0.0001
Epoch 30, Step 55000, Loss: 0.117348742482, Accuracy: 0.956654548862, lr: 0.0001
Epoch 31, Step 55000, Loss: 0.114849169146, Accuracy: 0.957727276304, lr: 0.0001
Epoch 32, Step 55000, Loss: 0.113510747863, Accuracy: 0.958636366237, lr: 0.0001
Epoch 33, Step 55000, Loss: 0.107043696793, Accuracy: 0.961145458005, lr: 0.0001
Epoch 34, Step 55000, Loss: 0.106246493987, Accuracy: 0.96096363978, lr: 0.0001
Epoch 35, Step 55000, Loss: 0.108040426763, Accuracy: 0.960945458304, lr: 0.0001
Epoch 36, Step 55000, Loss: 0.100614685311, Accuracy: 0.963163641149, lr: 0.0001
Epoch 37, Step 55000, Loss: 0.0957859069583, Accuracy: 0.965600006364, lr: 0.0001
Epoch 38, Step 55000, Loss: 0.0952868777784, Accuracy: 0.965563642545, lr: 0.0001
Epoch 39, Step 55000, Loss: 0.088762249188, Accuracy: 0.969490916621, lr: 0.0001
Epoch 40, Step 55000, Loss: 0.0851422313093, Accuracy: 0.968872735392, lr: 0.0001
Epoch 41, Step 55000, Loss: 0.0890474805405, Accuracy: 0.966454550678, lr: 0.0001
Epoch 42, Step 55000, Loss: 0.0886550400271, Accuracy: 0.967945460298, lr: 0.0001
Epoch 43, Step 55000, Loss: 0.0762829595499, Accuracy: 0.972963644916, lr: 0.0001
Epoch 44, Step 55000, Loss: 0.0739859650182, Accuracy: 0.974672735929, lr: 0.0001
Epoch 45, Step 55000, Loss: 0.0768604409034, Accuracy: 0.972018190189, lr: 0.0001
Epoch 46, Step 55000, Loss: 0.0730280872858, Accuracy: 0.973545463735, lr: 0.0001
Epoch 47, Step 55000, Loss: 0.0723329966956, Accuracy: 0.974600009268, lr: 0.0001
Epoch 48, Step 55000, Loss: 0.0711148801717, Accuracy: 0.97469091773, lr: 0.0001
Epoch 49, Step 55000, Loss: 0.0607866668125, Accuracy: 0.978927282745, lr: 0.0001
