Epoch 0, Step 55000, Loss: 0.440446747704, Accuracy: 0.82721818122, lr: 0.001
Epoch 1, Step 55000, Loss: 0.328909086585, Accuracy: 0.874945454489, lr: 0.001
Epoch 2, Step 55000, Loss: 0.300647749603, Accuracy: 0.886145455512, lr: 0.001
Epoch 3, Step 55000, Loss: 0.25886195386, Accuracy: 0.90310909152, lr: 0.001
Epoch 4, Step 55000, Loss: 0.269037846665, Accuracy: 0.896236363974, lr: 0.001
Epoch 5, Step 55000, Loss: 0.220845285193, Accuracy: 0.917581819513, lr: 0.001
Epoch 6, Step 55000, Loss: 0.213939572193, Accuracy: 0.920436366471, lr: 0.001
Epoch 7, Step 55000, Loss: 0.197541639459, Accuracy: 0.925854546048, lr: 0.001
Epoch 8, Step 55000, Loss: 0.197898178182, Accuracy: 0.92434545582, lr: 0.001
Epoch 9, Step 55000, Loss: 0.177340032628, Accuracy: 0.93290909247, lr: 0.001
Epoch 10, Step 55000, Loss: 0.165242071924, Accuracy: 0.937109093341, lr: 0.001
Epoch 11, Step 55000, Loss: 0.160429583801, Accuracy: 0.939309092977, lr: 0.001
Epoch 12, Step 55000, Loss: 0.161074417491, Accuracy: 0.939290911284, lr: 0.001
Epoch 13, Step 55000, Loss: 0.147629666742, Accuracy: 0.94441818324, lr: 0.001
Epoch 14, Step 55000, Loss: 0.139858388779, Accuracy: 0.946763638583, lr: 0.001
Epoch 15, Step 55000, Loss: 0.125977758203, Accuracy: 0.952818183791, lr: 0.001
Epoch 16, Step 55000, Loss: 0.121640059989, Accuracy: 0.95449091131, lr: 0.001
Epoch 17, Step 55000, Loss: 0.118556724076, Accuracy: 0.955272730481, lr: 0.001
Epoch 18, Step 55000, Loss: 0.126600540162, Accuracy: 0.952418184497, lr: 0.001
Epoch 19, Step 55000, Loss: 0.109734272743, Accuracy: 0.958381821892, lr: 0.001
Epoch 20, Step 55000, Loss: 0.110033715228, Accuracy: 0.95816363844, lr: 0.001
Epoch 21, Step 55000, Loss: 0.0992806830596, Accuracy: 0.964254551259, lr: 0.001
Epoch 22, Step 55000, Loss: 0.102184211639, Accuracy: 0.960600002896, lr: 0.001
Epoch 23, Step 55000, Loss: 0.0989027802917, Accuracy: 0.962672732635, lr: 0.001
Epoch 24, Step 55000, Loss: 0.0901526752301, Accuracy: 0.964581823024, lr: 0.001
