Epoch 0, Step 55000, Loss: 0.353799885897, Accuracy: 0.870418177193, lr: 0.001
Epoch 1, Step 55000, Loss: 0.298532683687, Accuracy: 0.888109086589, lr: 0.001
Epoch 2, Step 55000, Loss: 0.267039065168, Accuracy: 0.898890905272, lr: 0.001
Epoch 3, Step 55000, Loss: 0.237620077479, Accuracy: 0.909363633394, lr: 0.001
Epoch 4, Step 55000, Loss: 0.233605957275, Accuracy: 0.914290904728, lr: 0.001
Epoch 5, Step 55000, Loss: 0.209909671264, Accuracy: 0.920799996961, lr: 0.001
Epoch 6, Step 55000, Loss: 0.212765982947, Accuracy: 0.917545451359, lr: 0.001
Epoch 7, Step 55000, Loss: 0.221834547384, Accuracy: 0.920727269324, lr: 0.001
Epoch 8, Step 55000, Loss: 0.177738891508, Accuracy: 0.933363633264, lr: 0.001
Epoch 9, Step 55000, Loss: 0.153171006753, Accuracy: 0.942618179646, lr: 0.001
Epoch 10, Step 55000, Loss: 0.15793874287, Accuracy: 0.941727270809, lr: 0.001
Epoch 11, Step 55000, Loss: 0.137231672681, Accuracy: 0.94754545266, lr: 0.001
Epoch 12, Step 55000, Loss: 0.147610057501, Accuracy: 0.944745452458, lr: 0.001
Epoch 13, Step 55000, Loss: 0.141595934541, Accuracy: 0.946327270811, lr: 0.001
Epoch 14, Step 55000, Loss: 0.161656341806, Accuracy: 0.938963633884, lr: 0.001
Epoch 15, Step 55000, Loss: 0.126076793307, Accuracy: 0.951418180466, lr: 0.001
Epoch 16, Step 55000, Loss: 0.125669844577, Accuracy: 0.953399998329, lr: 0.001
Epoch 17, Step 55000, Loss: 0.128656773545, Accuracy: 0.949381816766, lr: 0.001
Epoch 18, Step 55000, Loss: 0.115882031619, Accuracy: 0.955272725821, lr: 0.001
Epoch 19, Step 55000, Loss: 0.138337282166, Accuracy: 0.947999997085, lr: 0.001
Epoch 20, Step 55000, Loss: 0.108333159614, Accuracy: 0.959981817603, lr: 0.001
Epoch 21, Step 55000, Loss: 0.102419646124, Accuracy: 0.961200000752, lr: 0.001
Epoch 22, Step 55000, Loss: 0.126853992853, Accuracy: 0.956163635416, lr: 0.001
Epoch 23, Step 55000, Loss: 0.104383211562, Accuracy: 0.96005454459, lr: 0.001
Epoch 24, Step 55000, Loss: 0.0981817480799, Accuracy: 0.964363635941, lr: 0.001
