Epoch 0, Step 55000, Loss: 0.463541841399, Accuracy: 0.8273454522, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.339318123297, Accuracy: 0.875727272359, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.310480769629, Accuracy: 0.885181818659, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.281820460599, Accuracy: 0.894581818906, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.25557835522, Accuracy: 0.906490909728, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.234788589897, Accuracy: 0.914872729128, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.204494086761, Accuracy: 0.924490910985, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.210906188935, Accuracy: 0.922781820839, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.185880560265, Accuracy: 0.932272728356, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.172080918571, Accuracy: 0.938309092305, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.168273993981, Accuracy: 0.938363637924, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.157923522117, Accuracy: 0.939763637023, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.148302456852, Accuracy: 0.945581819794, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.126270807338, Accuracy: 0.954400001764, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.12743813892, Accuracy: 0.953127275163, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.10739938165, Accuracy: 0.961400003325, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.0992071790655, Accuracy: 0.963363641717, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.0860986390727, Accuracy: 0.969090918086, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.0807538640821, Accuracy: 0.9710181893, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.0656846296838, Accuracy: 0.976109100797, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.0620318124274, Accuracy: 0.978854555108, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.0510048130603, Accuracy: 0.983400009654, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.0524060832455, Accuracy: 0.981327284141, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.0467508541183, Accuracy: 0.982781829509, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.0429061497426, Accuracy: 0.98523637414, lr: 0.0001
Epoch 25, Step 55000, Loss: 0.0454800825376, Accuracy: 0.983345464901, lr: 0.0001
Epoch 26, Step 55000, Loss: 0.0327105560708, Accuracy: 0.988963644613, lr: 0.0001
Epoch 27, Step 55000, Loss: 0.0361250350015, Accuracy: 0.987309099761, lr: 0.0001
Epoch 28, Step 55000, Loss: 0.0237947499756, Accuracy: 0.991745461767, lr: 0.0001
Epoch 29, Step 55000, Loss: 0.0189937864145, Accuracy: 0.994490914128, lr: 0.0001
Epoch 30, Step 55000, Loss: 0.0243205771536, Accuracy: 0.991327280565, lr: 0.0001
Epoch 31, Step 55000, Loss: 0.0200795120115, Accuracy: 0.993254551671, lr: 0.0001
Epoch 32, Step 55000, Loss: 0.0192612537312, Accuracy: 0.993472733281, lr: 0.0001
Epoch 33, Step 55000, Loss: 0.0161087272974, Accuracy: 0.994854550145, lr: 0.0001
Epoch 34, Step 55000, Loss: 0.0137107093762, Accuracy: 0.994945459041, lr: 0.0001
Epoch 35, Step 55000, Loss: 0.0152687471862, Accuracy: 0.994400005124, lr: 0.0001
Epoch 36, Step 55000, Loss: 0.0119761304323, Accuracy: 0.996127276421, lr: 0.0001
Epoch 37, Step 55000, Loss: 0.00980320568503, Accuracy: 0.99720000267, lr: 0.0001
Epoch 38, Step 55000, Loss: 0.012265602559, Accuracy: 0.996236367117, lr: 0.0001
Epoch 39, Step 55000, Loss: 0.0168207416398, Accuracy: 0.993927278194, lr: 0.0001
Epoch 40, Step 55000, Loss: 0.012884253816, Accuracy: 0.995963640213, lr: 0.0001
Epoch 41, Step 55000, Loss: 0.00892007644212, Accuracy: 0.996872730255, lr: 0.0001
Epoch 42, Step 55000, Loss: 0.0290034060843, Accuracy: 0.98972728144, lr: 0.0001
Epoch 43, Step 55000, Loss: 0.0066427291382, Accuracy: 0.997981820107, lr: 0.0001
Epoch 44, Step 55000, Loss: 0.0274815436717, Accuracy: 0.989981826869, lr: 0.0001
Epoch 45, Step 55000, Loss: 0.0219230147301, Accuracy: 0.992090915983, lr: 0.0001
Epoch 46, Step 55000, Loss: 0.0104350903613, Accuracy: 0.996454548836, lr: 0.0001
Epoch 47, Step 55000, Loss: 0.0104949973546, Accuracy: 0.996672730446, lr: 0.0001
Epoch 48, Step 55000, Loss: 0.00526808856, Accuracy: 0.998309092522, lr: 0.0001
Epoch 49, Step 55000, Loss: 0.00789271380047, Accuracy: 0.997636365891, lr: 0.0001
