Epoch 0, Step 55000, Loss: 0.71591381306, Accuracy: 0.725909091126, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.606296464638, Accuracy: 0.778472723853, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.535746312358, Accuracy: 0.806509089362, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.505509171378, Accuracy: 0.819599998106, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.489184807593, Accuracy: 0.820818181146, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.451044203585, Accuracy: 0.833290907578, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.430984338061, Accuracy: 0.844272724498, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.430477855639, Accuracy: 0.84607272625, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.411199802242, Accuracy: 0.849909089587, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.40964124154, Accuracy: 0.847618181272, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.397672038512, Accuracy: 0.853309090571, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.386784639169, Accuracy: 0.858981817311, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.365110942559, Accuracy: 0.867636362314, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.372061643709, Accuracy: 0.863290908337, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.355820830573, Accuracy: 0.870545454676, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.361884888925, Accuracy: 0.865963635336, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.343920250372, Accuracy: 0.876890910214, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.345502536297, Accuracy: 0.874163636186, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.338860339577, Accuracy: 0.874454544999, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.327103330981, Accuracy: 0.880181819201, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.327388635603, Accuracy: 0.880581817735, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.326293500879, Accuracy: 0.879945454272, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.31668191498, Accuracy: 0.883999998678, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.315978770906, Accuracy: 0.885309090939, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.316922875805, Accuracy: 0.885254546296, lr: 0.0001
